        Frequency / GHz                SZmax(1),Zmax(1) (wm=4)/abs,dB
               32.221693                     -0.89478912
               32.267662                     -0.88435601
                32.31363                     -0.87908051
               32.359598                     -0.87915271
               32.405566                     -0.88494538
               32.451534                     -0.89700312
               32.497502                      -0.9160056
               32.543471                     -0.94267499
               32.589439                     -0.97757983
               32.635407                      -1.0207735
               32.681375                      -1.0712212
               32.727343                      -1.1260732
               32.773312                      -1.1800926
                32.81928                      -1.2258725
               32.865248                      -1.2554701
               32.911216                      -1.2632102
               32.957184                      -1.2480583
               33.003152                      -1.2138044
               33.049121                       -1.167034
               33.095089                      -1.1145349
               33.141057                      -1.0616321
               33.187025                      -1.0117439
               33.232993                     -0.96668361
               33.278961                     -0.92718492
                33.32493                     -0.89337174
               33.370898                     -0.86508917
               33.416866                      -0.8421087
               33.462834                     -0.82424115
               33.508802                     -0.81138406
               33.554771                     -0.80351204
               33.600739                     -0.80059838
               33.646707                     -0.80243899
               33.692675                     -0.80835407
               33.738643                     -0.81680967
               33.784611                      -0.8251718
                33.83058                     -0.82999254
               33.876548                     -0.82808114
               33.922516                     -0.81789091
               33.968484                     -0.80014702
               34.014452                     -0.77720615
                34.06042                     -0.75181195
               34.106389                     -0.72617863
               34.152357                     -0.70170264
               34.198325                     -0.67907998
               34.244293                     -0.65854327
               34.290261                     -0.64006766
                34.33623                     -0.62350769
               34.382198                     -0.60867551
               34.428166                     -0.59538033
               34.474134                     -0.58344578
               34.520102                     -0.57271552
                34.56607                     -0.56305336
               34.612039                     -0.55434115
               34.658007                     -0.54647596
               34.703975                     -0.53936751
               34.749943                     -0.53293586
               34.795911                     -0.52710974
               34.841879                     -0.52182515
               34.887848                     -0.51702441
               34.933816                     -0.51265538
               34.979784                     -0.50867096
               35.025752                     -0.50502857
                35.07172                     -0.50168985
               35.117689                     -0.49862031
               35.163657                     -0.49578901
               35.209625                     -0.49316831
               35.255593                     -0.49073357
               35.301561                     -0.48846292
               35.347529                     -0.48633697
               35.393498                     -0.48433858
               35.439466                     -0.48245266
               35.485434                      -0.4806659
               35.531402                     -0.47896663
                35.57737                     -0.47734459
               35.623338                     -0.47579081
               35.669307                     -0.47429742
               35.715275                     -0.47285754
               35.761243                     -0.47146514
               35.807211                     -0.47011497
               35.853179                     -0.46880241
               35.899148                     -0.46752343
               35.945116                     -0.46627451
               35.991084                     -0.46505256
               36.037052                     -0.46385487
                36.08302                     -0.46267908
               36.128988                     -0.46152309
               36.174957                     -0.46038508
               36.220925                     -0.45926344
               36.266893                     -0.45815675
               36.312861                     -0.45706376
               36.358829                     -0.45598337
               36.404797                     -0.45491459
               36.450766                     -0.45385657
               36.496734                     -0.45280853
               36.542702                     -0.45176979
                36.58867                     -0.45073974
               36.634638                     -0.44971783
               36.680607                     -0.44870357
               36.726575                     -0.44769653
               36.772543                      -0.4466963
               36.818511                     -0.44570254
               36.864479                     -0.44471492
               36.910447                     -0.44373315
               36.956416                     -0.44275696
               37.002384                     -0.44178611
               37.048352                     -0.44082038
                37.09432                     -0.43985957
               37.140288                     -0.43890348
               37.186256                     -0.43795195
               37.232225                     -0.43700481
               37.278193                     -0.43606192
               37.324161                     -0.43512314
               37.370129                     -0.43418834
               37.416097                      -0.4332574
               37.462066                     -0.43233021
               37.508034                     -0.43140666
               37.554002                     -0.43048665
                37.59997                      -0.4295701
               37.645938                     -0.42865691
               37.691906                     -0.42774699
               37.737875                     -0.42684027
               37.783843                     -0.42593668
               37.829811                     -0.42503614
               37.875779                     -0.42413858
               37.921747                     -0.42324394
               37.967715                     -0.42235216
               38.013684                     -0.42146318
               38.059652                     -0.42057694
                38.10562                      -0.4196934
               38.151588                      -0.4188125
               38.197556                     -0.41793419
               38.243525                     -0.41705842
               38.289493                     -0.41618516
               38.335461                     -0.41531436
               38.381429                     -0.41444598
               38.427397                     -0.41357999
               38.473365                     -0.41271635
               38.519334                     -0.41185502
               38.565302                     -0.41099599
                38.61127                      -0.4101392
               38.657238                     -0.40928465
               38.703206                      -0.4084323
               38.749175                     -0.40758213
               38.795143                     -0.40673411
               38.841111                     -0.40588823
               38.887079                     -0.40504448
               38.933047                     -0.40420282
               38.979015                     -0.40336325
               39.024984                     -0.40252575
               39.070952                     -0.40169032
                39.11692                     -0.40085694
               39.162888                      -0.4000256
               39.208856                      -0.3991963
               39.254824                     -0.39836904
               39.300793                     -0.39754381
               39.346761                     -0.39672061
               39.392729                     -0.39589944
               39.438697                     -0.39508031
               39.484665                     -0.39426321
               39.530634                     -0.39344816
               39.576602                     -0.39263517
                39.62257                     -0.39182424
               39.668538                     -0.39101538
               39.714506                     -0.39020861
               39.760474                     -0.38940394
               39.806443                     -0.38860139
               39.852411                     -0.38780098
               39.898379                     -0.38700273
               39.944347                     -0.38620667
               39.990315                      -0.3854128
               40.036283                     -0.38462117
               40.082252                      -0.3838318
                40.12822                     -0.38304472
