        Frequency / GHz                SZmax(1),Zmax(1) (wm=1)/abs,dB
                    31.6                     -0.57273817
                  31.646                     -0.57094217
                  31.692                     -0.56915323
                  31.738                     -0.56737139
                  31.784                     -0.56559671
                   31.83                     -0.56382922
                  31.876                     -0.56206897
                  31.922                     -0.56031598
                  31.968                      -0.5585703
                  32.014                     -0.55683196
                   32.06                     -0.55510099
                  32.106                     -0.55337742
                  32.152                     -0.55166128
                  32.198                     -0.54995259
                  32.244                     -0.54825138
                   32.29                     -0.54655767
                  32.336                     -0.54487148
                  32.382                     -0.54319283
                  32.428                     -0.54152175
                  32.474                     -0.53985823
                   32.52                     -0.53820231
                  32.566                       -0.536554
                  32.612                      -0.5349133
                  32.658                     -0.53328023
                  32.704                      -0.5316548
                   32.75                     -0.53003702
                  32.796                     -0.52842689
                  32.842                     -0.52682442
                  32.888                     -0.52522962
                  32.934                     -0.52364249
                   32.98                     -0.52206303
                  33.026                     -0.52049124
                  33.072                     -0.51892713
                  33.118                      -0.5173707
                  33.164                     -0.51582195
                   33.21                     -0.51428087
                  33.256                     -0.51274745
                  33.302                     -0.51122171
                  33.348                     -0.50970363
                  33.394                     -0.50819321
                   33.44                     -0.50669044
                  33.486                     -0.50519532
                  33.532                     -0.50370784
                  33.578                     -0.50222799
                  33.624                     -0.50075576
                   33.67                     -0.49929115
                  33.716                     -0.49783414
                  33.762                     -0.49638472
                  33.808                     -0.49494289
                  33.854                     -0.49350863
                    33.9                     -0.49208193
                  33.946                     -0.49066278
                  33.992                     -0.48925116
                  34.038                     -0.48784706
                  34.084                     -0.48645047
                   34.13                     -0.48506138
                  34.176                     -0.48367976
                  34.222                     -0.48230561
                  34.268                     -0.48093891
                  34.314                     -0.47957964
                   34.36                     -0.47822779
                  34.406                     -0.47688334
                  34.452                     -0.47554628
                  34.498                     -0.47421658
                  34.544                     -0.47289423
                   34.59                     -0.47157922
                  34.636                     -0.47027153
                  34.682                     -0.46897113
                  34.728                     -0.46767801
                  34.774                     -0.46639216
                   34.82                     -0.46511355
                  34.866                     -0.46384216
                  34.912                     -0.46257798
                  34.958                     -0.46132099
                  35.004                     -0.46007116
                   35.05                     -0.45882849
                  35.096                     -0.45759294
                  35.142                     -0.45636451
                  35.188                     -0.45514317
                  35.234                      -0.4539289
