        Frequency / GHz                SZmax(1),Zmax(1) (ro=2)/abs,dB
                   28.93                      -0.9539445
                  28.979                     -0.96279869
                  29.028                     -0.97343029
                  29.077                     -0.98607053
                  29.126                      -1.0009965
                  29.175                       -1.018541
                  29.224                      -1.0391054
                  29.273                      -1.0631755
                  29.322                      -1.0913427
                  29.371                      -1.1243303
                   29.42                      -1.1630288
                  29.469                      -1.2085412
                  29.518                      -1.2622429
                  29.567                      -1.3258616
                  29.616                      -1.4015825
                  29.665                      -1.4921904
                  29.714                      -1.6012589
                  29.763                      -1.7334039
                  29.812                      -1.8946199
                  29.861                      -2.0927182
                   29.91                      -2.3378762
                  29.959                      -2.6432718
                  30.008                      -3.0256729
                  30.057                      -3.5055971
                 30.0815                      -3.7893127
                  30.106                      -4.1060249
                  30.155                      -4.8472146
                  30.204                      -5.7321981
                  30.253                      -6.7133825
                30.26525                      -6.9587734
                  30.302                      -7.6359467
                  30.351                      -8.2110726
                    30.4                      -8.1729782
                  30.449                      -7.5584541
                  30.498                      -6.6586673
                  30.547                      -5.7336336
                  30.596                      -4.9083992
                  30.645                      -4.2164795
                  30.694                      -3.6513673
                  30.743                      -3.1939435
                  30.792                      -2.8237683
                  30.841                      -2.5229106
                   30.89                      -2.2767784
                  30.939                      -2.0738801
                  30.988                      -1.9052909
                  31.037                       -1.764109
                  31.086                      -1.6449928
                  31.135                      -1.5437924
                  31.184                      -1.4572676
                  31.233                      -1.3828737
                  31.282                       -1.318601
                  31.331                      -1.2628545
                   31.38                      -1.2143628
                  31.429                      -1.1721103
                  31.478                       -1.135286
                  31.527                      -1.1032446
                  31.576                      -1.0754774
                  31.625                       -1.051591
                  31.674                      -1.0312909
                  31.723                      -1.0143694
                  31.772                      -1.0006958
                  31.821                     -0.99020621
                   31.87                     -0.98288835
                  31.919                     -0.97875297
                  31.968                      -0.9777764
                  32.017                     -0.97979307
                  32.066                     -0.98432937
                  32.115                     -0.99046249
                  32.164                     -0.99703417
                  32.213                      -1.0036999
                  32.262                      -1.0123744
                  32.311                      -1.0270412
                   32.36                      -1.0514216
                  32.409                      -1.0871849
                  32.458                      -1.1339022
                  32.507                      -1.1893494
                  32.556                      -1.2492476
                  32.605                      -1.3068354
                  32.654                      -1.3532671
                  32.703                      -1.3796734
                  32.752                      -1.3804881
                  32.801                       -1.355971
                   32.85                      -1.3118916
                  32.899                      -1.2566936
                  32.948                      -1.1983724
                  32.997                      -1.1427601
                  33.046                      -1.0933114
                  33.095                      -1.0516649
                  33.144                      -1.0183465
                  33.193                     -0.99332179
                  33.242                     -0.97634422
                  33.291                     -0.96713181
                   33.34                     -0.96541222
                  33.389                     -0.97085595
                  33.438                     -0.98289508
                  33.487                      -1.0004199
                  33.536                      -1.0213856
                  33.585                       -1.042475
                  33.634                      -1.0591397
                  33.683                      -1.0664022
                  33.732                      -1.0604374
                  33.781                      -1.0401708
                   33.83                       -1.007733
                  33.879                     -0.96739267
                  33.928                     -0.92381021
                  33.977                     -0.88072657
                  34.026                     -0.84050752
                  34.075                     -0.80430173
                  34.124                     -0.77242156
                  34.173                     -0.74470116
                  34.222                     -0.72074986
                  34.271                      -0.7001043
                   34.32                     -0.68230881
                  34.369                     -0.66695193
                  34.418                     -0.65367897
                  34.467                      -0.6421925
                  34.516                     -0.63224764
                  34.565                     -0.62364568
                  34.614                     -0.61622772
                  34.663                     -0.60986921
                  34.712                      -0.6044757
                  34.761                     -0.59997989
                   34.81                     -0.59634012
                  34.859                     -0.59354044
                  34.908                      -0.5915925
                  34.957                     -0.59053972
                  35.006                     -0.59046457
                  35.055                     -0.59149982
                  35.104                     -0.59384578
                  35.153                     -0.59779532
                  35.202                     -0.60376918
                  35.251                     -0.61236222
                    35.3                     -0.62439421
                  35.349                     -0.64093549
                  35.398                     -0.66321699
                  35.447                     -0.69220241
                  35.496                     -0.72743708
                  35.545                     -0.76501322
                  35.594                     -0.79616813
                  35.643                     -0.81045557
                  35.692                     -0.80371486
                  35.741                     -0.78147201
                   35.79                     -0.75313752
                  35.839                      -0.7256293
                  35.888                     -0.70202604
                  35.937                     -0.68294353
                  35.986                     -0.66794049
                  36.035                     -0.65628643
                  36.084                     -0.64727392
                  36.133                     -0.64031206
                  36.182                     -0.63493461
                  36.231                     -0.63078148
                   36.28                     -0.62757592
                  36.329                      -0.6251044
                  36.378                     -0.62320086
                  36.427                     -0.62173482
                  36.476                     -0.62060267
                  36.525                     -0.61972127
                  36.574                     -0.61902325
                  36.623                     -0.61845361
                  36.672                     -0.61796706
                  36.721                     -0.61752616
                   36.77                     -0.61709979
                  36.819                     -0.61666199
                  36.868                     -0.61619098
                  36.917                     -0.61566837
                  36.966                     -0.61507848
                  37.015                     -0.61440764
                  37.064                     -0.61364357
                  37.113                     -0.61277475
                  37.162                     -0.61178973
                  37.211                     -0.61067641
                   37.26                     -0.60942127
                  37.309                     -0.60800848
                  37.358                     -0.60641905
                  37.407                     -0.60462988
                  37.456                     -0.60261296
                  37.505                     -0.60033478
                  37.554                     -0.59775623
                  37.603                     -0.59483326
                  37.652                     -0.59151896
                  37.701                     -0.58776721
                   37.75                      -0.5835386
                  37.799                     -0.57880834
                  37.848                     -0.57357558
                  37.897                     -0.56787231
                  37.946                     -0.56176923
                  37.995                     -0.55537569
                  38.044                     -0.54883187
                  38.093                     -0.54229366
                  38.142                     -0.53591347
                  38.191                     -0.52982186
                   38.24                     -0.52411463
                  38.289                     -0.51884766
                  38.338                      -0.5140391
                  38.387                     -0.50967667
                  38.436                     -0.50572705
                  38.485                       -0.502145
                  38.534                     -0.49888071
                  38.583                     -0.49588508
