        Frequency / GHz                SZmax(1),Zmax(1)/abs,dB
                 23.3347                      -13.015537
                 23.3504                      -13.077861
                 23.3661                      -13.141245
                 23.3818                      -13.205706
                 23.3975                      -13.271264
                 23.4132                      -13.337937
                 23.4289                      -13.405745
                 23.4446                      -13.474709
                 23.4603                      -13.544848
                  23.476                      -13.616186
                 23.4917                      -13.688743
                 23.5074                      -13.762542
                 23.5231                      -13.837606
                 23.5388                       -13.91396
                 23.5545                      -13.991627
                 23.5702                      -14.070634
                 23.5859                      -14.151007
                 23.6016                      -14.232771
                 23.6173                      -14.315955
                  23.633                      -14.400588
                 23.6487                      -14.486698
                 23.6644                      -14.574316
                 23.6801                      -14.663473
                 23.6958                      -14.754201
                 23.7115                      -14.846534
                 23.7272                      -14.940504
                 23.7429                      -15.036149
                 23.7586                      -15.133504
                 23.7743                      -15.232606
                   23.79                      -15.333495
                 23.8057                      -15.436209
                 23.8214                      -15.540792
                 23.8371                      -15.647285
                 23.8528                      -15.755732
                 23.8685                      -15.866178
                 23.8842                      -15.978672
                 23.8999                      -16.093261
                 23.9156                      -16.209996
                 23.9313                      -16.328928
                  23.947                      -16.450112
                 23.9627                      -16.573602
                 23.9784                      -16.699457
                 23.9941                      -16.827734
                 24.0098                      -16.958496
                 24.0255                      -17.091807
                 24.0412                       -17.22773
                 24.0569                      -17.366334
                 24.0726                      -17.507689
                 24.0883                      -17.651867
                  24.104                      -17.798941
                 24.1197                      -17.948989
                 24.1354                       -18.10209
                 24.1511                      -18.258324
                 24.1668                      -18.417775
                 24.1825                       -18.58053
                 24.1982                      -18.746676
                 24.2139                      -18.916302
                 24.2296                      -19.089502
                 24.2453                      -19.266368
                  24.261                      -19.446995
                 24.2767                      -19.631479
                 24.2924                      -19.819916
                 24.3081                      -20.012403
                 24.3238                      -20.209035
                 24.3395                      -20.409905
                 24.3552                      -20.615105
                 24.3709                      -20.824721
                 24.3866                      -21.038834
                 24.4023                      -21.257515
                  24.418                      -21.480828
                 24.4337                       -21.70882
                 24.4494                      -21.941522
                 24.4651                      -22.178945
                 24.4808                       -22.42107
                 24.4965                      -22.667847
                 24.5122                      -22.919184
                 24.5279                      -23.174939
                 24.5436                      -23.434912
                 24.5593                      -23.698826
                  24.575                      -23.966321
                 24.5907                       -24.23693
                 24.6064                      -24.510065
                 24.6221                      -24.784993
                 24.6378                      -25.060815
                 24.6535                       -25.33644
                 24.6692                      -25.610562
                 24.6849                      -25.881633
                 24.7006                      -26.147848
