        Frequency / GHz                SZmax(1),Zmax(1)/abs,dB
                  22.021                      -10.293258
                   22.07                      -8.4133705
                  22.119                      -7.3105789
                  22.168                      -6.7129925
                  22.217                      -6.4609454
                  22.266                      -6.4614644
                  22.315                      -6.6617901
                  22.364                       -7.033682
                  22.413                      -7.5639633
                  22.462                      -8.2486852
                  22.511                      -9.0893518
                   22.56                      -10.090319
                  22.609                      -11.257168
                  22.658                      -12.597465
                  22.707                      -14.129803
                  22.756                      -15.911997
                  22.805                      -18.060943
                  22.854                      -20.494614
                  22.903                      -21.969687
                  22.952                      -21.095927
                  23.001                      -19.228316
                   23.05                       -17.52723
                  23.099                      -16.164623
                  23.148                      -15.072357
                  23.197                      -14.161897
                  23.246                      -13.353319
                  23.295                      -12.576141
                  23.344                      -11.774028
                  23.393                      -10.917006
                  23.442                      -10.012704
                  23.491                      -9.1036122
                   23.54                       -8.247573
                  23.589                      -7.4942107
                  23.638                      -6.8716613
                  23.687                      -6.3869052
                  23.736                      -6.0338243
                  23.785                      -5.8021619
                  23.834                      -5.6839994
                  23.883                      -5.6774237
                  23.932                      -5.7881676
                  23.981                       -6.029636
                   24.03                      -6.4204022
                  24.079                      -6.9758767
                  24.128                      -7.6872333
                  24.177                      -8.4793902
                  24.226                      -9.1609129
                  24.275                      -9.4550938
                  24.324                      -9.2095415
                  24.373                       -8.554842
                  24.422                      -7.7443978
                  24.471                      -6.9553221
                   24.52                      -6.2609139
                  24.569                      -5.6752664
                  24.618                      -5.1890872
                  24.667                      -4.7870801
                  24.716                      -4.4547041
                  24.765                      -4.1802839
                  24.814                      -3.9553549
                  24.863                      -3.7744182
                  24.912                       -3.634495
                  24.961                      -3.5344956
                   25.01                      -3.4742112
                  25.059                      -3.4526607
                  25.108                      -3.4657421
                  25.157                      -3.5038832
                  25.206                      -3.5514528
                  25.255                      -3.5897583
                  25.304                      -3.6030583
                  25.353                      -3.5838001
                  25.402                      -3.5334945
                  25.451                      -3.4595373
                    25.5                      -3.3710467
                  25.549                      -3.2760613
                  25.598                      -3.1804761
                  25.647                      -3.0880563
                  25.696                      -3.0008207
                  25.745                      -2.9193562
                  25.794                      -2.8428201
                  25.843                      -2.7685272
                  25.892                      -2.6918297
                  25.941                      -2.6112095
                   25.99                       -2.546291
                  26.039                      -2.5313144
                  26.088                      -2.5617161
                  26.137                      -2.6148852
                  26.186                      -2.6849629
                  26.235                      -2.7763623
                  26.284                      -2.8955272
                  26.333                      -3.0473225
                  26.382                      -3.2312268
                  26.431                      -3.4348322
                   26.48                      -3.6258085
                  26.529                      -3.7510925
                  26.578                      -3.7578869
                  26.627                      -3.6319703
                  26.676                      -3.4128903
                  26.725                      -3.1649315
                  26.774                      -2.9405439
                  26.823                      -2.7685596
                  26.872                      -2.6608755
                  26.921                      -2.6219697
                   26.97                      -2.6544573
                  27.019                      -2.7595028
                  27.068                      -2.9313954
                  27.117                       -3.145922
                  27.166                      -3.3488695
                  27.215                      -3.4651144
                  27.264                        -3.44235
                  27.313                      -3.2908071
                  27.362                      -3.0672395
                  27.411                       -2.829135
                   27.46                      -2.6110087
                  27.509                      -2.4263976
                  27.558                      -2.2771419
                  27.607                      -2.1603562
                  27.656                      -2.0720304
                  27.705                       -2.008532
                  27.754                      -1.9671046
                  27.803                      -1.9459645
                  27.852                      -1.9442721
                  27.901                      -1.9620935
                   27.95                       -2.000401
                  27.999                      -2.0611337
                  28.048                      -2.1473343
                  28.097                      -2.2633784
                  28.146                      -2.4153247
                  28.195                      -2.6114193
                  28.244                      -2.8627991
                  28.293                      -3.1844388
                  28.342                      -3.5963436
                  28.391                      -4.1248355
                   28.44                      -4.8032653
                  28.489                      -5.6699005
                  28.538                      -6.7559684
                  28.587                      -8.0436293
                  28.636                      -9.3516116
                  28.685                      -10.176331
                  28.734                      -9.9523885
                  28.783                      -8.8420434
                  28.832                      -7.4892434
                  28.881                       -6.286819
                   28.93                      -5.3433114
                  28.979                      -4.6497078
                  29.028                       -4.165188
                  29.077                      -3.8460566
                  29.126                      -3.6532103
                  29.175                      -3.5528205
                  29.224                      -3.5154621
                  29.273                      -3.5154624
                  29.322                      -3.5308532
                  29.371                       -3.543635
                   29.42                      -3.5397519
                  29.469                      -3.5082409
                  29.518                      -3.4397332
                  29.567                      -3.3268969
                  29.616                       -3.174051
                  29.665                      -3.0149899
                  29.714                      -2.8969079
                  29.763                      -2.8284325
                  29.812                      -2.7857564
                  29.861                      -2.7500234
                   29.91                      -2.7149826
                  29.959                      -2.6806943
                  30.008                      -2.6490686
                  30.057                      -2.6221993
                  30.106                      -2.6019444
                  30.155                      -2.5899136
                  30.204                       -2.587554
                  30.253                      -2.5962322
                  30.302                      -2.6172754
                  30.351                       -2.651941
                    30.4                      -2.7012663
                  30.449                      -2.7657171
                  30.498                      -2.8445061
                  30.547                      -2.9344294
                  30.596                      -3.0281718
                  30.645                      -3.1124966
                  30.694                      -3.1678151
                  30.743                       -3.171846
                  30.792                       -3.108955
                  30.841                      -2.9807809
                   30.89                      -2.8081509
                  30.939                      -2.6204046
                  30.988                      -2.4414215
                  31.037                      -2.2832793
                  31.086                      -2.1486312
                  31.135                      -2.0362479
                  31.184                      -1.9449803
                  31.233                      -1.8749279
                  31.282                      -1.8269535
                  31.331                      -1.8019924
                   31.38                      -1.8007952
                  31.429                      -1.8240529
                  31.478                      -1.8726479
                  31.527                      -1.9478462
                  31.576                      -2.0513371
                  31.625                      -2.1850628
                  31.674                      -2.3507549
                  31.723                      -2.5490675
                  31.772                      -2.7781978
                  31.821                      -3.0320275
                   31.87                      -3.2982115
                  31.919                      -3.5573132
                  31.968                       -3.784651
                  32.017                      -3.9559301
                  32.066                       -4.055208
                  32.115                      -4.0808242
                  32.164                      -4.0453231
                  32.213                      -3.9697903
                  32.262                      -3.8767748
                  32.311                      -3.7854998
                   32.36                      -3.7102667
                  32.409                      -3.6610561
                  32.458                       -3.645056
                  32.507                      -3.6683409
                  32.556                      -3.7374037
                  32.605                      -3.8604549
                  32.654                      -4.0483107
                  32.703                      -4.3141949
                  32.752                      -4.6707091
                  32.801                      -5.1207718
                   32.85                      -5.6398812
                  32.899                       -6.156415
                  32.948                      -6.5575346
                  32.997                       -6.746592
                  33.046                      -6.7091374
                  33.095                      -6.5074733
                  33.144                      -6.2209705
                  33.193                      -5.9060688
                  33.242                      -5.5922462
                  33.291                      -5.2918829
                   33.34                      -5.0092426
                  33.389                      -4.7455431
                  33.438                      -4.5012015
                  33.487                      -4.2766203
                  33.536                      -4.0723606
                  33.585                      -3.8891241
                  33.634                      -3.7277172
                  33.683                        -3.58906
                  33.732                      -3.4742473
                  33.781                      -3.3846611
                   33.83                      -3.3221272
                  33.879                       -3.289118
                  33.928                      -3.2890094
                  33.977                       -3.326404
                  34.026                      -3.4075379
                  34.075                      -3.5407831
                  34.124                      -3.7372375
                  34.173                      -4.0113299
                  34.222                      -4.3812059
                  34.271                      -4.8682768
                   34.32                      -5.4944239
                  34.369                      -6.2734317
                  34.418                      -7.1897348
                  34.467                      -8.1552818
                  34.516                      -8.9553994
                  34.565                      -9.2815091
                  34.614                      -8.9717919
                  34.663                      -8.1934151
                  34.712                      -7.2456248
                  34.761                      -6.3304404
                   34.81                      -5.5290871
                  34.859                      -4.8553961
                  34.908                      -4.2958408
                  34.957                      -3.8285327
                  35.006                      -3.4307592
                  35.055                      -3.0820631
                  35.104                      -2.7665743
                  35.153                      -2.4758087
                  35.202                      -2.2103042
                  35.251                      -1.9769863
                    35.3                      -1.7826261
                  35.349                      -1.6287027
                  35.398                      -1.5112461
                  35.447                      -1.4236756
                  35.496                      -1.3593188
                  35.545                      -1.3124621
                  35.594                      -1.2783832
                  35.643                      -1.2530572
                  35.692                      -1.2329541
                  35.741                      -1.2150621
                   35.79                      -1.1970599
                  35.839                      -1.1774683
                  35.888                      -1.1556476
                  35.937                      -1.1316263
                  35.986                      -1.1058445
                  36.035                      -1.0789107
                  36.084                      -1.0514314
                  36.133                      -1.0239207
                  36.182                     -0.99677216
                  36.231                     -0.97026845
                   36.28                     -0.94461014
                  36.329                     -0.91995458
                  36.378                     -0.89646315
                  36.427                     -0.87436113
                  36.476                     -0.85401951
                  36.525                     -0.83606786
                  36.574                     -0.82153328
                  36.623                     -0.81194231
                  36.672                     -0.80918029
                  36.721                     -0.81472045
                   36.77                     -0.82804721
                  36.819                     -0.84537885
                  36.868                     -0.86090399
                  36.917                     -0.87027495
                  36.966                     -0.87265533
                  37.015                     -0.86975874
                  37.064                     -0.86397901
                  37.113                     -0.85733193
                  37.162                     -0.85122944
                  37.211                     -0.84659876
                   37.26                     -0.84404478
                  37.309                     -0.84395308
                  37.358                     -0.84651218
                  37.407                      -0.8516519
                  37.456                     -0.85889725
                  37.505                     -0.86715838
                  37.554                     -0.87453893
                  37.603                      -0.8783493
                  37.652                     -0.87557001
                  37.701                     -0.86383042
                   37.75                     -0.84248596
                  37.799                     -0.81303056
                  37.848                     -0.77847281
                  37.897                     -0.74215139
                  37.946                     -0.70678434
                  37.995                     -0.67411932
                  38.044                     -0.64504696
                  38.093                     -0.61988963
                  38.142                     -0.59867515
                  38.191                     -0.58133031
                   38.24                      -0.5677972
                  38.289                     -0.55809545
                  38.338                     -0.55235151
                  38.387                     -0.55080848
                  38.436                     -0.55382187
                  38.485                      -0.5618398
                  38.534                     -0.57535845
                  38.583                     -0.59483354
                  38.632                     -0.62051688
                  38.681                     -0.65217555
                   38.73                     -0.68865863
                  38.779                     -0.72734322
                  38.828                     -0.76368193
                  38.877                      -0.7913873
                  38.926                     -0.80392961
                  38.975                     -0.79734152
                  39.024                     -0.77275513
                  39.073                     -0.73644591
                  39.122                     -0.69712038
                  39.171                     -0.66267111
                   39.22                       -0.638474
                  39.269                     -0.62735017
                  39.318                     -0.63011202
                  39.367                      -0.6456264
                  39.416                     -0.66984894
                  39.465                     -0.69443601
                  39.514                     -0.70776996
                  39.563                     -0.70124149
                  39.612                     -0.67602646
                  39.661                     -0.64123419
                   39.71                     -0.60612182
                  39.759                      -0.5757657
                  39.808                     -0.55154495
                  39.857                     -0.53296989
                  39.906                     -0.51895812
                  39.955                     -0.50841702
                  40.004                     -0.50043419
                  40.053                      -0.4943031
                  40.102                     -0.48949447
                  40.151                     -0.48561746
                    40.2                     -0.48238482
                  40.249                     -0.47958555
                  40.298                     -0.47706443
                  40.347                     -0.47470697
                  40.396                     -0.47242857
                  40.445                     -0.47016653
                  40.494                     -0.46787432
                  40.543                     -0.46551732
                  40.592                      -0.4630697
                  40.641                     -0.46051209
                   40.69                     -0.45782985
                  40.739                     -0.45501172
                  40.788                     -0.45204887
                  40.837                     -0.44893409
                  40.886                      -0.4456612
                  40.935                      -0.4422246
                  40.984                     -0.43861888
                  41.033                     -0.43483858
                  41.082                     -0.43087793
                  41.131                     -0.42673071
                   41.18                     -0.42239016
                  41.229                     -0.41784897
                  41.278                     -0.41309934
                  41.327                     -0.40813318
                  41.376                     -0.40294251
                  41.425                     -0.39752008
                  41.474                     -0.39186035
                  41.523                     -0.38596102
                  41.572                      -0.3798252
                  41.621                     -0.37346455
                   41.67                     -0.36690364
                  41.719                      -0.3601858
                  41.768                     -0.35338051
                  41.817                     -0.34659232
                  41.866                     -0.33997009
                  41.915                     -0.33371456
                  41.964                     -0.32808032
                  42.013                     -0.32336622
                  42.062                     -0.31988843
                  42.111                     -0.31793233
                   42.16                     -0.31768844
                  42.209                     -0.31918879
                  42.258                     -0.32226938
                  42.307                      -0.3265807
                  42.356                     -0.33164908
                  42.405                     -0.33696766
                  42.454                     -0.34208324
                  42.503                     -0.34665274
                  42.552                     -0.35046136
                  42.601                     -0.35341065
                   42.65                     -0.35549108
                  42.699                     -0.35675172
                  42.748                     -0.35727421
                  42.797                     -0.35715374
                  42.846                     -0.35648679
                  42.895                     -0.35536402
                  42.944                     -0.35386693
                  42.993                     -0.35206673
                  43.042                     -0.35002456
                  43.091                     -0.34779232
                   43.14                     -0.34541384
                  43.189                     -0.34292606
                  43.238                     -0.34036012
                  43.287                     -0.33774239
                  43.336                     -0.33509527
                  43.385                     -0.33243797
                  43.434                     -0.32978707
                  43.483                     -0.32715702
                  43.532                     -0.32456056
                  43.581                     -0.32200904
                   43.63                     -0.31951268
                  43.679                     -0.31708083
                  43.728                     -0.31472211
                  43.777                     -0.31244457
                  43.826                     -0.31025581
                  43.875                     -0.30816309
                  43.924                     -0.30617339
                  43.973                     -0.30429347
                  44.022                     -0.30252996
                  44.071                     -0.30088937
                   44.12                     -0.29937811
                  44.169                     -0.29800258
                  44.218                      -0.2967691
                  44.267                     -0.29568402
                  44.316                     -0.29475365
                  44.365                     -0.29398431
                  44.414                     -0.29338235
                  44.463                     -0.29295409
                  44.512                     -0.29270586
                  44.561                     -0.29264399
                   44.61                     -0.29277479
                  44.659                     -0.29310454
                  44.708                     -0.29363949
                  44.757                     -0.29438583
                  44.806                     -0.29534967
                  44.855                     -0.29653704
                  44.904                     -0.29795385
                  44.953                     -0.29960589
                  45.002                     -0.30149877
                  45.051                     -0.30363797
                    45.1                     -0.30602877
                  45.149                     -0.30867623
                  45.198                     -0.31158523
                  45.247                     -0.31476042
                  45.296                     -0.31820625
                  45.345                     -0.32192698
                  45.394                     -0.32592674
                  45.443                     -0.33020953
                  45.492                     -0.33477934
                  45.541                     -0.33964024
                   45.59                     -0.34479654
                  45.639                     -0.35025295
                  45.688                     -0.35601485
                  45.737                      -0.3620886
                  45.786                      -0.3684819
                  45.835                     -0.37520429
                  45.884                     -0.38226777
                  45.933                      -0.3896874
                  45.982                     -0.39748222
                  46.031                     -0.40567607
                   46.08                     -0.41429861
                  46.129                     -0.42338618
                  46.178                     -0.43298248
                  46.227                     -0.44313848
                  46.276                     -0.45391108
                  46.325                     -0.46535903
                  46.374                     -0.47753449
                  46.423                     -0.49046689
                  46.472                     -0.50413526
                  46.521                     -0.51842461
                   46.57                     -0.53306423
                  46.619                     -0.54755481
                  46.668                     -0.56111074
                  46.717                     -0.57267146
                  46.766                     -0.58105036
                  46.815                     -0.58524618
                  46.864                     -0.58481892
                  46.913                     -0.58011376
                  46.962                     -0.57216234
                  47.011                     -0.56231423
                   47.06                     -0.55183084
                  47.109                     -0.54163856
                  47.158                     -0.53227781
                  47.207                      -0.5239741
                  47.256                     -0.51674557
                  47.305                     -0.51049713
                  47.354                     -0.50508561
                  47.403                     -0.50035852
                  47.452                     -0.49617406
                  47.501                     -0.49240963
                   47.55                     -0.48896399
                  47.599                     -0.48575632
                  47.648                     -0.48272387
                  47.697                     -0.47981932
                  47.746                     -0.47700815
                  47.795                     -0.47426633
                  47.844                     -0.47157828
                  47.893                     -0.46893526
                  47.942                      -0.4663339
                  47.991                     -0.46377517
                   48.04                     -0.46126334
                  48.089                     -0.45880533
                  48.138                     -0.45641002
